DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2013,517.287,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2014,729.970,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2015,796.295,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2016,1014.248,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2017,1204.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2018,1335.400,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2019,1467.300,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2020,1720.700,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2021,2061.800,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2022,2137.800,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2023,2586.500,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Croatia,2024,2576.600,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2005,10.095,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2006,43.364,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2007,110.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2008,204.828,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2009,330.930,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2010,533.792,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2011,625.693,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2012,769.992,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2013,717.510,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2014,656.540,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2015,693.323,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2016,683.692,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2017,758.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2018,607.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2019,729.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2020,655.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2021,664.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2022,610.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2023,646.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Hungary,2024,659.000,,
ESTAT:NRG_BAL_C(1.0),06/03/26 23:00:00,Annual,Primary production,Wind,Gigawatt-hour,Ireland,2005,1130.368,,
